index,Song name,type,artist,lyrics
254,जादू है नशा है,romantic,श्रेया घोषाल,जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ देखती है जिस तरह से तेरी नज़रें मुझे मैं खुद को छुपाऊँ कहाँ जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ ये पल है अपना तो इस पल को जी लें शोलों की तरहा जरा जल के जी लें पल झपकते खो ना जाना छूके कर लूं यकीँ ना जाने पल ये पायें कहाँ जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ बाहों में तेरी यूं खो गये हैं अरमाँ दबे से जगने लगे हैं जो मिले हो आज हम को दूर जाना नहीं मिटादो सारी ये दूरीयाँ जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ देखती है जिस तरह से तेरी नज़रें मुझे मैं खुद को छुपाऊँ कहाँ जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ शमा तुझको खींचती है आजा परवाने मेरी बाहों में आ जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ कुछ भी ना समझेए कुछ भी ना माने दिल कर रहा है कितने बहाने तुम को देखे तुम को चाहे इस तरह से कभी हम ने किसी को चाहा कहाँ जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ लो थाम लो ये लम्हों के धागे हम चल पडे हैं सपनों के आगे रस्ता ये है कठिन पर इस सफ़र में कभी न होंगी कोई अब दूरीयाँ जादू है नशा है मदहोशीयाँ तुझको भूलाके अब जाऊँ कहाँ शमा तुझको खींचती है आजा परवाने मेरी बाहों में आ
255,जान ‘निसार,romantic,"अरिजीत सिंह , असीस कौर",ना मारेगी दीवानगी मेरी ना मारेगी आवारगी मेरी की मारेगी ज्यादा मुझे मौत से नाराज़गी तेरी  क्यूँ इतना हुआ है तू खफ़ा है जिद्द किस बात की तेरी की मारेगी ज्यादा मुझे मौत से नाराज़गी तेरी  जान निसार है जान निसार  तेरे प्यार पे मेरे यार जान निसार है मम्म..  दुनिया ज़माने से रिश्ते मिटाए हैं तुझसे ही यारी है हमारी इक बार तो आ  मैंने निभाया है करके दिखाया है ले तेरी बारी इक वारि तू भी प्यार निभा  तू भी प्यार निभा ओ यारा तेरी बेरुखी से है बड़ी उम्र इंतज़ार की मेरी की मारेगी ज्यादा मुझे मौत से नाराज़गी तेरी  क्यूँ इतना हुआ है तू खफ़ा है जिद्द किस बात की तेरी की मारेगी ज्यादा मुझे मौत से नाराज़गी तेरी  जान निसार है जान निसार तेरे प्यार पे मेरे यार जान निसार है मम्म..
256,जान ए जिगर जानेमन,sad,"अनुराधा पौडवाल , कुमार सानू"," जानम.. जान-ए-जान.. जानम.. जान-ए-जहां.. जान-ए-जिगर जानेमन मुझको है तेरी कसम तू जो मुझे ना मिला मर जाऊंगी मैं सनम  जान-ए-जिगर जानेमन मुझको है तेरी कसम तू जो मुझे ना मिली मर जाऊँगा मैं सनम  ओ रोकेगा हमको अब क्या ज़माना मरके हमें है वादा निभाना  जान-ए-जिगर जानेमन मुझको है तेरी कसम तू जो मुझे ना मिला मर जाऊंगी मैं सनम..  मैं फूलों से कलियों से तारों से तेरी मांग भर दूंगा मैं फूलों से कलियों से तारों से तेरी मांग भर दूंगा मैं साँसों की मेहेकी बहारों को तेरे नाम कर दूंगा  मैं प्यार तुझसे करती हूँ दिन रात आहें भारती हूँ  आहें भारती हूँ, आहें भारती हूँ  जान-ए-जिगर जानेमन हम्म.. मुझको है तेरी कसम हम्म.. तू जो मुझे ना मिली हम्म.. मर जाऊंगा मैं सनम हम्म..  जान-ए-जिगर जानेमन मुझको है तेरी कसम तू जो मुझे ना मिला मर जाऊंगी मैं सनम  बिन तेरे गुज़रते हैं कैसे मेरे दिन रात ना पूछो बिन तेरे गुज़रते हैं कैसे मेरे दिन रात ना पूछो जो दिल में छुपी है मेरे हमनशीं वो बात ना पूछो  दो दिल जब धड़कते हैं ऐसे ही तड़पते हैं तड़पते हैं, तड़पते हैं  जान-ए-जिगर जानेमन मुझको है तेरी कसम तू जो मुझे ना मिला मर जाऊंगी मैं सनम हो.. रोकेगा हमको अब क्या ज़माना मरके हमें है वादा निभाना  जान-ए-जिगर जानेमन मुझको है तेरी कसम तू जो मुझे ना मिला मर जाऊंगी मैं सनम  जानम.. जान-ए-जान.. जानम.. जान-ए-जहां.. जानम.. जान-ए-जान.. जानम.. जान-ए-जहां.. "
257,जाने कहाँ,sad,मुकेश,"जाने कहाँ … गए वो दिन कहते थे तेरी राह में नज़रों हो हम बिछाएंगे …   जाने कहाँ … गए वो दिन कहते थे तेरी राह में नज़रों हो हम बिछाएंगे … चाहे कहीं भी तुम रहो चाहेंगे तुमको उम्र भर तुमको ना भूल पाएंगे  मेरे कदम जहाँ पड़े सजदे किये थे यार ने मेरे कदम जहाँ पड़े सजदे किये थे यार ने मुझको रुला रुला दिया … जाती हुई बहार ने  जाने कहाँ … गए वो दिन कहते थे तेरी राह में नज़रों हो हम बिछाएंगे … चाहे कहीं भी तुम रहो चाहेंगे तुमको उम्र भर तुमको ना भूल पाएंगे  अपनी नज़र में आज कल, दिन भी अँधेरी रात है अपनी नज़र में आज कल, दिन भी अँधेरी रात है साया ही अपने साथ था साया ही अपने साथ है  जाने कहाँ … गए वो दिन, कहते थे तेरी राह में नज़रों हो हम बिछाएंगे चाहे कहीं भी तुम रहो चाहेंगे तुमको उम्र भर तुमको ना भूल पाएंगे"
258,जाने क्यूँ लोग,sad,अलका याग्निक,"जाने क्यूँ लोग प्यार करते हैंजाने क्यूँ वो किसी पे मरते हैं जाने क्यूँ लोग प्यार करते हैंजाने क्यूँ वो किसी पे मरते हैंजाने क्यूँ.. जाने क्यूँजाने क्यूँ, जाने क्यूँजाने क्यूँप्यार में सोचिए तो बस गम हैप्यार में जो सितम भी हो कम हैप्यार में सर झुकाना पड़ता हैदर्द में मुस्कुराना पड़ता हैज़हर क्यूँ ज़िंदगी में भरते हैंजाने क्यूँ वो किसी पे मरते हैंजाने क्यूँ.. जाने क्यूँजाने क्यूँ, जाने क्यूँजाने क्यूँप्यार बिन जीने में रखा क्या हैप्यार जिस को नहीं वो तन्हा हैप्यार बिन जीने में रखा क्या हैप्यार जिस को नहीं वो तन्हा हैप्यार सौ रंग ले के आता हैप्यार ही ज़िंदगी सजाता हैलोग छुप छुप के प्यार करते हैंजाने क्यूँ साफ़ कहते डरते हैंजाने क्यूँ.. जाने क्यूँहो जाने क्यूँ, जाने क्यूँजाने क्यूँप्यार बेकार की मुसीबत हैप्यार हर तरह खूबसूरत हैहो.. प्यार से हम दूर ही अच्छेअरे प्यार के सब रूप हैं सच्चेहो प्यार के घाट जो उतरते हैंडूबते हैं न वो उभरते हैंजाने क्यूँ.. जाने क्यूँप्यार तो खैर सभी करते हैंजाने क्यूँ आप ही मुकरते हैंजाने क्यूँ.. जाने क्यूँजाने क्यूँ, जाने क्यूँजाने क्यूँ"
259,जाने दे,romantic,आतिफ़ असलम,वो जो था ख्वाब सा क्या कहें जाने दें ये जो है कम से कम ये रहे के जाने दें वो जो था ख्वाब सा क्या कहें जाने दें ये जो है कम से कम ये रहे के जाने दें क्यूँ ना रोक कर खुदको एक मशवरा कर लें मगर जाने दे आदतन तो सोचेंगे होता यूँ तो क्या होता मगर जाने दे वो जो था ख्वाब सा क्या कहें जाने दें ये जो है कम से कम ये रहे के जाने दें हम्म.. बीता जो बीते ना हाय क्यूँ आये यूँ आँखों में हमने तो बे-मन भी सोचा ना क्यूँ आये तुम बातों में पूछते जो हमसे तुम जाने क्या क्या हम कहते मगर जाने दे आदतन तो सोचेंगे होता यूँ तो क्या होता मगर जाने दे वो जो था ख्वाब सा क्या कहें जाने दें ये जो है कम से कम ये रहे के जाने दें आसान नहीं है मगर जाना नहीं अब उधर हम्म.. आसान नहीं है मगर जाना नहीं अब उधर  मालूम है जहां दर्द है वही फिर भी क्यूँ जाएँ वही कशमकश वही उलझाने वही टीस क्यूँ लायें  बेहतर तो ये होता हम मिले ही ना होते मगर जाने दे मगर जाने दे आदतन तो सोचेंगे होता यूँ तो क्या होता मगर जाने दे वो जो था ख्वाब सा क्या कहें जाने दें ये जो है कम से कम ये रहे के जाने दें
260,ज़ालिमा,romantic,अरिजीत सिंह,"जो तेरी खातिर तडपे पहले से ही क्या उसे तडपाना ओ ज़ालिमा ओ ज़ालिमा जो तेरे इश्क में बहका पहले से ही क्या उसे बहकाना ओ ज़ालिमा ओ ज़ालिमा जो तेरी खातिर तडपे पहले से ही क्या उसे तडपाना ओ ज़ालिमा ओ ज़ालिमा जो तेरे इश्क में बहका पहले से ही क्या उसे बहकाना ओ ज़ालिमा ओ ज़ालिमा  आँखें मरहबा बातें मरहबा मैं सौ मर्तबा दीवाना हुआ मेरा ना रहा जब से दिल मेरा तेरे हुस्न का निशाना हुआ  जिसकी हर धड़कन तू हो ऐसे दिल को क्या धडकना ओ ज़ालिमा ओ ज़ालिमा..  जो तेरी खातिर तडपे पहले से ही क्या उसे तडपाना ओ ज़ालिमा ओ ज़ालिमा  साँसों में तेरी नजदीकियों का इत्र्र तू घोल दे घोल दे.. मैं ही क्यूँ इश्क ज़ाहिर करूँ तू भी कभी बोल दे, बोल दे..  साँसों में तेरी नजदीकियों का इत्र्र तू घोल दे घोल दे.. मैं ही क्यूँ इश्क ज़ाहिर करूँ तू भी कभी बोल दे, बोल दे..  लेके जान ही जाएगा मेरी क़ातिल हर तेरा बहाना हुआ  तुझसे ही शुरु तुझपे ही ख़तम मेरे प्यार का फ़साना हुआ  तू शम्मा है तो याद रखना मैं भी हूँ परवाना ओ ज़ालिमा ओ ज़ालिमा..  जो तेरी खातिर तडपे पहले से ही क्या उसे तडपाना ओ ज़ालिमा ओ ज़ालिमा  दीदार तेरा मिलने के बाद ही छूटे मेरी अंगड़ाई तू ही बता दे क्यूँ जालिम मैं कहलाई  क्यूँ इस तरह से दुनिया जहाँ में करता है मेरी रुसवाई तेरा कुसूर और जालिम मैं कहलाई  दीदार तेरा मिलने के बाद ही छूटे मेरी अंगड़ाई तू ही बता दे क्यूँ जालिम मैं कहलाई तू ही बता दे क्यूँ जालिम मैं कहलाई"
261,ज़िंग ज़िंग ज़िंगाट,party,अजय-अतुल,केसरिया म्हारो बालमा पधारो म्हारी कंट्री मा रे आओ पधारो केसरिया म्हारो बालमा पधारो म्हारी कंट्री मा रे आओ पधारो ना रे ज़िंग ज़िंग ज़िंग ज़िंग  हे धड़क चिक धूम धड़कन बोले जब तू छत पे आए नैन लड़ाके तुझसे मन मंदिर में जिंगल बेल हो जाए  धूम धड़क चिक धूम धड़कन बोले जब तू छत पे आए नैन लड़ाके तुझसे मन मंदिर में जिंगल बेल हो जाए  तर हसीं चेहरा आहा मेरे लबों से निकला वाहां ढूँढ गूगल पे जाके मिलेगा मजनू मेरे जैसा कहाँ  पूरी पलटन के साथ लेके बारात बलमा ये तेरा  नाचे ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग नाचे ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग  आया दस किलोमीटर पैदल चलके मैं तेरी गाली मुझको पानी भी ना पूछो ख़ुद मोटर साइकल पे चली  तू सहेली के संग जाके रेस्ट्रॉंट में पिज़्ज़ा खाए धूप में बाहर बैठा बैठा मैं चुगता हूँ मूँगफली  चली तेरी सवारी जहाँ हाँ हाँ हाँ  चली तेरी सवारी जहाँ संग चला मैं तेरे वहाँ फ़ैन हूँ बेबी तेरा लगा हूँ पीछे दुम छल्ले की तरह  चाहे जितना भी डाँट छोड़े ना साथ बलमा ये तेरा  नाचे ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग नाचे ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग भेजूँ मम्मी-डैडी को घर तेरे लेके मेरा रिश्ता हो शगुन में काजू-पिस्ता चूड़ी कंगन विथ गुलदस्ता  चाई बिस्कुट से मुँह मीठा करके शादी गर हो जाए ना मिलेगा तेरे घरवालों को दूल्हा इतना सस्ता बाक़ी तमाम रिश्ते हटा  बाक़ी तमाम रिश्ते हटा पतली गली से उनको कटा और सज़ा के मंडप तेरे बग़ल में गोरी मुझको बिठा  दे दे हाथों में हाथ बन जाए बात बलमा ये तेरा  नाचे ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग नाचे ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग ज़िंगाट ज़िंग ज़िंग ज़िंग ज़िंग ज़िंग
262,जिगर दा टुकड़ा,party,"सलीम मर्चेंट, श्रद्धा पंडित",डिगी डिगोंग डोंग डोंग..    डिस्को ते क्लब शब मैं की करां बार या पब शब मैं की करां  हो ओ.. डिस्को ते क्लब शब मैं की करां बार या पब शब मैं की करां अडा तो सडा है वहाँ होगा रे होगा रे जहाँ माय जिगर दा टुकड़ा हाय माय जिगर दा टुकड़ा यू आर माय सोना सोना मुखड़ा हाय माय जिगर दा टुकड़ा  डिगी डिगोंग डोंग डोंग..  कैफ़े ते  मैं की करां लिमो में ले या ट्रक मैं की करां डिगी डिगोंग डोंग डोंग.. होय कैफ़े ते starbuck मैं की करां लिमो में ले या ट्रक मैं की करां सानु ते जाना है वहाँ होगा रे होगा रे जहाँ माय जिगर दा टुकड़ा हाय माय जिगर दा टुकड़ा यू आर माय सोना सोना मुखड़ा हाय माय जिगर दा टुकड़ा ओय  wish कर दा मैं तेनु ditch करदी तू मेनू खुदगर्जी तेरी हाय बेबी हो wish कर दा मैं तेनु ditch करदी तू मेनू खुदगर्जी तेरी हाय बेबी  यूँ करके बहाना आशिक को लटकाना  है जी  लगता है क्यूट तू बड़ा गाता है जब दुखड़ा माय जिगर दा टुकड़ा हाय माय जिगर दा टुकड़ा यू आर माय सोना सोना मुखड़ा हाय हाय माय जिगर दा टुकड़ा ओय  हो माय सोना सोना मुखड़ा  गोर से चिट्ठे से पंजाबी चेहरे पे गुच्ची का चश्मा तेरा गोर से चिट्ठे से पंजाबी चेहरे पे गुच्ची का चश्मा तेरा जैसे के लस्सी के गिलास में वोडका शॉट शॉट शॉट शॉट टपका  तारीफे सुन के तेरी मुंडा ये हाय बिगड़ा माय जिगर दा टुकड़ा हाय माय जिगर दा टुकड़ा यू आर माय सोना सोना मुखड़ा हाय माय जिगर दा टुकड़ा  डिगी डिगोंग डोंग डोंग
263,जिंदा,sad,विशाल ददलानी,"दिल के भँवर में है डूबा मेरा सफ़ीना, हाँ सफ़ीना हो दुआयें मैंने रब से की थामे मुझको यूँ ही रहना यूँ ही रहना, रहना.. जिंदा हूँ मैं तुझमें तुझमें रहूँगा जिंदा तोड़ के सब जंजीरें हिन्दीट्रैक्स मैं आज़ाद परिंदा  ख़ाक से बना हूँ मैं ख़ाक है बन जाऊंगा सीने में लेके आग मैं वक़्त से लड़ जाऊंगा  ख़ाक से बना हूँ मैं ख़ाक ही बन जाऊंगा सीने में लेके आग मैं वक़्त से लड़ जाऊंगा  ये शेर बूढा ज़रूर हो गया है लेकिन शिकार करना नहीं भूला  जिंदा हूँ मैं तुझमें तुझमें रहूँगा जिंदा तोड़ के सब जंजीरें मैं आज़ाद परिंदा  जिंदा हूँ मैं तुझमें तुझमें रहूँगा जिंदा तोड़ के सब जंजीरें मैं आज़ाद परिंदा"
264,ज़िंदा रहतीं हैं,romantic,लता मंगेशकर," पिया तोसे नैना लागे रे पिया तोसे नैना लागे रे नैना लागे रे जाने क्या हो अब आगे रे नैना लागे रे पिया तोसे नैना लागे रे हो.. जग ने उतारे हो.. धरती पे तारे पर मन मेरा मुरझाए, हाय हो.. उनबिन आली हो.. कैसी दीवाली मिलने को जिया उकलाए आ सजन पायल पुकारे झनक झन-झन झनक झन-झन  पिया तोसे नैना लागे रे नैना लागे रे जाने क्या हो अब आगे रे नैना लागे रे पिया तोसे नैना लागे रे  भोर की बेला सुहानी नदिया के तीरे भरके गागर जिस घड़ी मैं चलूँ धीरे-धीरे आ आ भोर की बेला सुहानी नदिया के तीरे भरके गागर जिस घड़ी मैं चलूँ धीरे-धीरे तुझपे नज़र जब जाए हो.. जाने क्यूँ बज उठें कँगना खनक खन-खन खनक खन-खन  पिया तोसे नैना लागे रे पिया तोसे नैना लागे रे नैना लागे रे जाने क्या हो अब आगे रे नैना लागे रे पिया तोसे नैना लागे रे  आ आ.. पिया तोसे नैना लागे रे नैना लागे रे जाने क्या हो अब आगे रे  आ आ.. हो हो.. आ आ.. हो.. आई होली आई हो.. सब रंग लाई बिन तेरे होली भी न भाए, हाय हो.. भर पिचकारी हो.. सखियों ने मारी, भीगी मोरी सारी हाय-हाय तन-बदन मोरा काँपे थर-थर धिनक धिन-धिन धिनक धिन-धिन  पिया तोसे नैना लागे रे पिया तोसे नैना लागे रे नैना लागे रे जाने क्या हो अब आगे रे नैना लागे रे पिया तोसे नैना लागे रे  रात को जब चाँद चमके जल उठे तन मेरा मैं कहूँ मत करो चँदा इस गली का फेरा आ आ रात को जब चाँद चमके जल उठे तन मेरा मैं कहूँ मत करो चँदा इस गली का फेरा  आना मोरा सैंया जब आए चमकना उस रात को जब मिलेंगे तन-मन, मिलेंगे तन-मन  पिया तोसे नैना लागे रे नैना लागे रे पिया हो हो पिया हो पिया हा हा पिया  हो.. पिया तोसे नैना लागे रे जाने क्या हो अब आगे रे नैना लागे रे पिया तोसे नैना लागे रे  "
265,ज़िन्दगी ,romantic,"शफाकत अली","ज़िन्दगी से चुरा के ज़िन्दगी में बसा के जिंदगानी बनाया है तुझे रूठे रब को मना के आसमा को झुका के जिंदगानी बनाया है तुझे  तू मिला जिस तरह सबा मिले तू मिला जिस तरह सिला मिले तू मिला जिस तरह दुआ मिले बाखुदा तू मिला तो जैसे मैं जी गया तू मिला मुकम्मल मैं हो गया तू मिला तो फैला है नूर सा बाखुदा  ज़िन्दगी से चुरा के ज़िन्दगी में बसा के जिंदगानी बनाया है तुझे  महफूज़ तू महसूस कर, तेरे पास हूँ मैं सदा तुझसे नहीं हो सकता मैं पल भर भी अब जुदा अब साथ हैं हम इस तरह आँखों के संग पलके अब वक़्त को ये बात हम इक बार फिर से कह दें  सारे गम को छुपा के हर नज़र से बचा के जिंदगानी बनाया है तुझे  तू मिला जिस तरह सबा मिले तू मिला जिस तरह सिला मिले तू मिला जिस तरह दुआ मिले बाखुदा तू मिला तो जैसे मैं जी गया तू मिला मुकम्मल मैं हो गया तू मिला तों फैला है नूर सा बाखुदा  बाँहों में आ हो जायेंगे शिकवे सभी खुद फन्ना होठों से मैं तुझको सुनु आँखों से तू कुछ सूना तू अक्स है मैं आइना फिर क्या है सोचना इक दूसरे में खो के है इक दुसरे को पाना किस्मतों को जगा के हर जहाँ को हारा के जिंदगानी बनाया है तुझे  तू मिला जिस तरह सबा मिले तू मिला जिस तरह सिला मिले तू मिला जिस तरह दुआ मिले बाखुदा तू मिला तो जैसे मैं जी गया तू मिला मुकम्मल मैं हो गया तू मिला तों फैला है नूर सा बाखुदा  "
266,ज़िन्दगी एक सफ़र,party,किशोर कुमार,ज़िन्दगी एक सफ़र है सुहाना यहाँ कल क्या हो किसने जाना हो ज़िन्दगी एक सफ़र है सुहाना यहाँ कल क्या हो किसने जाना ओडले एड्लीई ओ…  चाँद तारों से चलना है आगे असमानों से बढ़ना है आगे पीछे रह जायेगा ये ज़माना यहाँ कल क्या हो किसने जाना  ज़िन्दगी एक सफ़र है सुहाना यहाँ कल क्या हो किसने जाना  हँसते गाते जहाँ से गुज़र दुनिया की तू परवाह ना कर मुस्कुराते हुए दिन बिताना यहाँ कल क्या हो किसने जाना  ज़िन्दगी एक सफ़र है सुहाना यहाँ कल क्या हो किसने जाना  मौत आनी है आएगी एक दिन जान जानी है जाएगी एक दिन ऐसी बातों से क्या घबराना यहाँ कल क्या हो किसने जाना  ज़िन्दगी एक सफ़र है सुहाना यहाँ कल क्या हो किसने जाना ओडले एड्लीई ओ… ज़िन्दगी एक सफ़र है सुहाना यहाँ कल क्या हो किसने जाना
267,ज़िन्दगी ऐ ज़िन्दगी,sad,राहत फतेह अली खान,"बे असर हैं सारी आहे इल्तेजायें राएगां ना कोई हमदर्द अपना ना कोई कहरवा हो हम सुनाये किसको अपनी दस्ताने बेबसी ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी इक पल में जाने की किस्मत चाल कैसी चल गयी लोरियां थी जो लबों पे आहों में क्यूँ ढल गयी  क्यूँ आंसुओं में बह गए वो ख्वाब जो आँखों में थे  दिल की हर इक आरज़ू भी साथ दिल के जल गयी ओ किस तरह झेले कोई अब वक़्त की ये संदिली ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी बुझ गया हर एक मंज़र चाँद तारे खो गए  ना वो आई जो भंवर में दो किनारे खो गए  इन रास्तों से मिट गए सारे ही क़दमों के निशाँ मेरा हमसफ़र खोया तो जैसे सब सहारे खो गए  हो मंजिलें भी अजनबी है रहगुज़र भी अजनबी  ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी ज़िन्दगी ऐ ज़िन्दगी भटके हुवे हैं राहों में इंसान तेरे या रब्ब मेरे इंसानियत भूले हैं ये इंसान तेरे या रब्ब मेरे  सब जान के अनजान हैं बस नाम के इंसान हैं है बद से भी बदतर हुवे इंसान तेरे या रब्ब मेरे  मेरे खुदा कर्म का अपना जलवा दिखा तू सहारा दे सुनाहों में डूबे दिलों की इल्तेजा तू सहारा दे मेरे खुदा, मेरे खुदा तू सहारा दे मेरे खुदा, मेरे खुदा तू सहारा दे"
268,ज़िन्दगी का सफ़र,party,किशोर कुमार,ज़िन्दगी का सफ़र है ये कैसा सफ़र कोई समझा नहीं कोई जाना नहीं ज़िन्दगी का सफ़र है ये कैसा सफ़र कोई समझा नहीं कोई जाना नहीं है ये कैसी डगर चलते हैं सब मगर कोई समझा नहीं कोई जाना नहीं  ज़िन्दगी को बहुत प्यार हमने दिया मौत से भी मोहब्बत निभायेंगे हम रोते रोते ज़माने में आये मगर हँसते हँसते ज़माने से जायेंगे हम  जायेंगे पर किधर है किसे ये खबर कोई समझा नहीं कोई जाना नहीं  ऐसे जीवन भी हैं जो जिये ही नहीं जिनको जीने से पहले ही मौत आ गयी फूल ऐसे भी हैं जो खिले ही नहीं जिनको खिलने से पहले फिजां खा गयी है परेशां नज़र थक गये चारागर कोई समझा नहीं कोई जाना नहीं ज़िन्दगी का सफ़र है ये कैसा सफ़र कोई समझा नहीं कोई जाना नहीं
269,ज़िन्दगी के सफ़र में,sad,किशोर कुमार,"ज़िन्दगी के सफ़र में  गुज़र जाते हैं जो मकाम वो फिर नहीं आते वो फिर नहीं आते  फूल खिलते हैं लोग मिलते हैं फूल खिलते हैं  लोग मिलते हैं मगर पतझड़ में जो फूल मुरझा जाते हैं वो बहारों के आने से खिलते नहीं कुछ लोग एक रोज़  जो बिछड़ जाते हैं वो हजारों के  आने से मिलते नहीं उम्र भर चाहे कोई  पुकारा करे उनका नाम वो फिर नहीं आते…   आँख धोखा है, क्या भरोसा है आँख धोखा है, क्या भरोसा है सुनो दोस्तों शक दोस्ती का दुश्मन है अपने दिल में इसे घर बनाने न दो कल तड़पना पड़े याद में जिनकी रोक लो रूठ कर उनको जाने न दो बाद में प्यार के  चाहे भेजो हजारों सलाम वो फिर नहीं आते…  सुबहो आती है, रात जाती है सुबहो आती है, रात जाती है यूँ ही वक़्त चलता ही रहता है रुकता नहीं एक पल में ये आगे निकल जाता है आदमी ठीक से देख पाता नहीं और परदे पे मंज़र बदल जाता है एक बार चले जाते हैं जो  दिन-रात, सुबहो-शाम वो फिर नहीं आते…  ज़िन्दगी के सफ़र में  गुज़र जाते हैं जो मकाम वो फिर नहीं आते, वो फिर नहीं आते"
270,ज़िन्दगी दो पल की,romantic,के.के.,"ज़िन्दगी दो पल की ज़िन्दगी दो पल की इंतज़ार कब तक हम करेंगे भला तुम्हें प्यार कब तक ना करेंगे भला ज़िन्दगी दो पल की दिल में तुम्हारे छुपा दी है मैंने तो अपनी ये जां अब तुम्हीं इसको संभालो हमें अपना होश कहाँ बेखुदी दो पल की, ज़िन्दगी दो पल की इंतज़ार कब तक हम करेंगे भला तुम्हें प्यार कब तक ना करेंगे भला इक छोटा सा वादा इस उम्र से ज्यादा सच्चा है सनम हर मोड़ पर साथ इसलिए रहते हैं अब दोनों दोस्ती दो पल की, ज़िन्दगी दो पल की इंतज़ार कब तक हम करेंगे भला तुम्हें प्यार कब तक ना करेंगे भला ज़िन्दगी दो पल की ज़िन्दगी"
271,ज़िन्दगी प्यार का गीत है,sad,किशोर कुमार,ज़िन्दगी प्यार का गीत है इसे हर दिल को गाना पड़ेगा ज़िन्दगी ग़म का सागर भी है हंस के उस पार जाना पड़ेगा  ज़िन्दगी प्यार का गीत है इसे हर दिल को गाना पड़ेगा ज़िन्दगी ग़म का सागर भी है हंस के उस पार जाना पड़ेगा ज़िन्दगी एक अहसास है टूटे दिल की कोई आस है ज़िन्दगी एक बनवास है कट कर सबको जाना पड़ेगा ज़िन्दगी प्यार का गीत है इसे हर दिल को गाना पड़ेगा… ज़िन्दगी बेवफ़ा है तो क्या अपने रूठे हैं हम से तो क्या हाथ में हाथ ना हो तो क्या साथ फिर भी निभाना पड़ेगा ज़िन्दगी प्यार का गीत है इसे हर दिल को गाना पड़ेगा… ज़िन्दगी एक मुस्कान है दर्द की कोई पहचान है ज़िन्दगी एक मेहमन है छोड़ संसार जाना पड़ेगा ज़िन्दगी प्यार का गीत है इसे हर दिल को गाना पड़ेगा ज़िन्दगी ग़म का सागर भी है हंस के उस पार जाना पड़ेगा
