index,Song_name,type,artist,lyrics
11,अपना टाइम आएगा,party,रणवीर सिंह,बोला ना पाय बोला बोला टाइम आएगा उठ राख उठ तलाश परवाज़ देख परव असमान सर उठ आएगा टाइम आएगा शाणा लाला ना मिल पाय शब्द ज्वाला बेड़ पिघलाय बोया उत खाय ख्वाब डर सत जिंदा ख्वाब दफानाय हौसले खौफ नह सी रास् चीर कामयाबी छीन पसी मतलब टाइम आएगा नंगा घंटा जाएगा टाइम आएगा टाइम आएगा टाइम आएगा नंगा घंटा जाएगा टाइम आएगा टाइम आएगा टाइम आएगा नंगा घंटा हाथ नह सर खुदकी मेहनत जित ताकत किस्मत नह उत रहमत लड़का सहमत नह हैरत नह जरुरत मर्ज़ी जुर्रत दिक्कत आफत हिमाकत इबादत अदालत चाहत मोहब्बत अमानत जीत शोहरत लालच नह भाई हार्डी च नह हार्ड हार्ड हार्ड हरकत बरकत टाइम आएगा नंगा घंटा जाएगा टाइम आएगा टाइम आएगा टाइम आएगा नंगा घंटा जाएगा टाइम आएगा टाइम आएगा टाइम आएगा नंगा घंटा जाएगा नंगा घंटा जाएगा टाइम आएगा टाइम आएगा टाइम आएगा ना नंगा ना 
12,अफ़गान जलेबी ,party,"असरार (सैयद असरार शाह)
",मखतूल ज़िगर बाबा क़ातिल नज़र बाबा महजब बाबा नूरेंनबिं बाबा रब रुब बाबा तबाही बाबा गर्दन सुराही बाबा बोली इलाही बाबा अफ़गान जलेबी माशूक फ़रेबी घायल दीव भाई वाह भाई वाह बन्दूक दिखा दिखा प्यार कर चेहरा दिख भाई वाह भाई वाह भाई वाह भाई ख़्वाजा पास चुगली करूँगा चुगली करूँगा चुगली करूँगा देख दरजी बाँदा नमाज़ी खेल बाज़ी वल्लाह खामखा ठहरा ना काम वल्लाह वल्लाह हीर वल्लाह शेर सु वल्लाह घूँट वल्लाह जाम खान महज़ लख्तेजिगर बाबा नूरेनज़र बाबा तीर बाबा चाक ज़िगर बाबा बन्द नह अल्लाह डर वादा निभ भाई वाह भाई वाह भाई वाह भाई ख्वाज़ाजी पास चुगली करूँगा चुगली करुँगी चुगली करूँगा गुलेगुल्ज़र बाबा सरदार बाबा मंशूर बाबा रुखसार बाबा हाय शमशीर निगाह चाबूक अद नाचीज़ ना चल भाई वाह भाई वाह बन्दूक दिखा दिखा प्यार कर चेहरा दिख भाई वाह भाई वाह 
13,अब के सजन,romantic,लता मंगेशकर,भोली सूरत आँख मस् हाय भोली सूरत आँख मस् खड़ी शर्म हाय झलक दिखलाये आँचल छुप हाय नज़र देखो यार नज़र भोली सूरत आँख मस् खड़ी शर्म हाय झलक दिखलाये आँचल छुप हाय नज़र देखो यार नज़र भोली सूरत आँख मस् हाय नह जादू रात ख्वाब जुल्फ बिखर आँख खुली दिल चाहा नींद बिन देखे हाल देखूं भोली सूरत आँख मस् खड़ी शर्म हाय झलक दिखलाये आँचल छुप हाय नज़र देखो यार नज़र भोली सूरत आँख मस् हाय ओहो सावन पहला बादल काजल मौज उठे सागर कदम उठाये रब मिट्टी अंग बनाये छम साम भोली सूरत आँख मस् खड़ी शर्म हाय झलक दिखलाये आँचल छुप हाय नज़र देखो यार नज़र भोली सूरत आँख मस् खड़ी शर्म हाय हाय 
14,अब ना फिर से,sad,यसीर देसाई,ना दिल ना दिल ना मोहब्बत होअब ना दिल ना मोहब्बत ख़्वाहिश ना चाहत ना ज़रूरत ना ज़रूरत ना मोहब्बत दर्द साये मिल राहत तमन् नह जुदा सीखा जी ज़रूरी नह हिंदी ट्रैक्स डॉट ख़्वाहिश ना हसरत दिल ना हुकूमत दिल ना हुकूमत ना मोहब्बत ना दिल ना मोहब्बत 
15,अभी अभी,romantic,श्रेया घोषाल,मिले ना छूट बात पसंद रूठ बात रौश ना मुह छुप बात ज़िन्दगी शुरू थम बात हारे माहिया मूंदे नै नींद तिहारे हारे माहिया मूंदे नै नींद तिहारे बाज चाहत समाये धडकन धड़क सुनाये ख्वाहिश ख्वाहिश रिहा करवट दास्त बय सुकून जूनून हमनव दिल सु ना ज़म बात बात रुकी दोहर बात आवारगी ना संभल बात ज़िन्दगी शुरू थम बात सुबह … बेवजह गुज़रे बिन तेम्हारे जिसकी रात सुबह … बेवजह गुज़रे बिन तेम्हारे जिसकी रात बाज चाहत समाये धडकन धड़क सुनाये ख्वाहिश ख्वाहिश रिहा करवट दास्त बय सुकून जूनून हमनव हारे माहिया मूंदे नै नींद तिहारे हारे माहिया मूंदे नै नींद तिहारे 
16,अभी तो पार्टी ,party,"बादशाह, आस्था गिल",दरवाज़े कंडी मारो बच पाये समझा म्यूज़िक ग़ल रुक ना आधा टका फ़ील रेड बुल गटक डान्स नह जाके भैंस चर रात सियाप्पे भर नाच ना घरवाले ना मापे राज डर बात शुरूवत शुरूवत पार्टी शुरू पार्टी शुरू शुरूवत ना वॉर्निंग पार्टी चल टिल सिक्स द मोर्निंग भरके नाच बेबी नाच नाच तोड़ सेंडेल आंटी पुलिस बुला यार करल हेंडले सूच जनहित जारी जान प्यारी चुप-चाप फ़्लोर आए फ़्लोर आके नाचे नख़रे-वखरे ना दिखाये शर्म करदे बाई बाई माईकल जैकसन तीन ऐक्शन दिख पार्टी कर पार्टी पापा नह डर बेटे बाक़ी पा काम रोक दिखाये जिसकी बम दम मस् माहौल छायी ख़ुमारी थक बैठ पार्टी जारी पंगा शुरू गरारी ज़िम्मी नौक रखी दुनिया रखी दुनिया पार्टी शुरू पार्टी शुरू डान्स नह जाके भैंस चर 
17,अरे हो गए हम आपके,romantic,"आशा भोसले, मोहम्मद रफ़ी",कसम कसम कसम कसम कसम कसम कसम कसम बि नह तोह हमदम साथ जिय साथ मर वादा सनम कसम कसम कसम कसम सुन आइ हंसी यक दिन हमारी सुन आइ हंसी यक दिन हमारी झुटा नह टिक सच्ची यारो यारी हाथ किसमे दम साथ जिय साथ मर खा कसम कसम कसम कसम कसम कसम कसम कसम कसम हीरे मो तोह सितार तोड़ लाऊ हीरे मो तोह सितार तोड़ लाऊ सिवा प्यार दीदार ना चाहू दुनिया नह भोली सनम रा बनाके रख दौलत कसम कसम कसम कसम बि नह तोह हमदम साथ जिय साथ मर वादा सनम कसम कसम कसम कसम 
18,अलविदा,sad,अरिजीत सिंह,अलविदा अलविदा नह अलविदा अलविदा नह जिस्म जान जुदा नह अलविदा अलविदा नह अलविदा अलविदा नह जिस्म जान जुदा नह रूह बेह रूह बेह हीं खुदा नह अलविदा अलविदा नह रौश खुशबु तन बदन जन छोटा ज़िन्दगी गिला मुख़्तसर दिल सिलसिला सच खला नह जिस्म जान जुदा नह जन जन जन जन जन जन जन चल चल पार चल देखे नूर मल देख जन चल बर्फ निकल छोड़ छाड तार आड़ मिल नह जिस्म जान जुदा नह रूह बेह रूह बेह हीं खुदा नह 
19,अलीज़े,romantic,अरिजीत सिंह,प्यार तोह निभ रह साथ सच चाहा मम… दर्द दवा ना आग हवा ना अली अली अली अलीज़े अली अली अली अलीज़े दिल ना अली अली अली अलीज़े अली अली अली अलीज़े याद ना अली अली अली अलीज़े अली अली अली अलीज़े दिल ना अली अली अली अलीज़े अली अली अली अलीज़े याद ना सूरज ढले काँधे सर ठिक चाहे याद सूरज ढले काँधे सर ठिक चाहे याद ना आग हवा ना अली अली अली अलीज़े अली अली अली अलीज़े दिल ना अली अली अली अलीज़े अली अली अली अलीज़े याद ना अली अली अली अलीज़े अली अली अली अलीज़े दिल ना अली अली अली अलीज़े अली अली अली अलीज़े याद ना 
20,असल में,sad,दर्शन रावल,खुदा लकीर जिसमे ज़ाहिर नही लिख दर्द शायर नही बेवफा सोच रात भर दिल रो असल नही नही नही नही नही नही नही नही आसम खता तारा टूटा लोग पूछ साथ छुटा मज़बूर कैसी दूर दिल समझे ना प्यार इम्तेह ख्वाब जिनमे हमसफर असल नही नही नही नही नही नही नही मंदे नई बन्दिश प्यार नाहियो झुकदे राह तकदे ऐह नैन नाहियो रुकदे हिस्से आइय उडीकं यार चो किव लुटानव हंजु नाहियो लुकदे होव खैर सज्ज पावे केर सज्ज कडे साड्डे वेहड़े तुर्र हाय होव खैर सज्ज पावे केर सज्ज हिन्दी ट्रैक्स डॉट हुन्न दिल तों दुआ लौट मिट्ट गम असल नही नही नही नही नही नही नही 
21,आ जाओ ना,sad,"अरिजीत सिंह ,शाश्वत सचदेव",गुम लाप मिले साथी ना गुम लाप मिले साथी ना पुरे अधूरे वादे पुरे होंगे ख्वाब अधूरे ना ना सोच ना ना सोच सही सोंचे नह चल वाद भटके जुगनूओं दिखा दें सही रास् चल सो सितार होले सहला रोशन आसम ना ना सोच ना ना सोच शाम होंगी ठहरी बात होंगी रूठी छोटी जिद्द लम्बी रात प्यार रह नह मुझ्को यक बित छूट प्यार गुम लाप मिले साथी ना पुरे अधूरे वादे पुरे होंगे ख्वाब अधूरे ना ना सोच ना ना सोच ना ना सोच 
22,आ जाना,romantic,अलका याग्निक,कु कु कुआ जानाआ जानाजब दिल ना दिलदारहमारी गली जानाजब दिल ना दिलदारहमारी गली जानाजब हमसे प्यार हमारी गली जानाजब हमसे प्यार हमारी गली जानाआ जानाआ जानाजब याद सत यारहमारी गली जानाजब याद सत यारहमारी गली जानाजब दीदारहमारी गली जानाजब दीदारहमारी गली जानाजब नींद ना रात रानीकर तंग जवानीजब नींद ना रात रानीकर तंग जवानीधड़कन सत जादू जगायेमौसम छेड़खानीजब जौब निखारहमारी गली जानाजब दिल ना दिलदारहमारी गली जानाआ जानाकु कु कुजब हद बढ़ बेक़रारीजब उम्र ना तन्हा गुज़ारीजब हद बढ़ बेक़रारीजब उम्र ना तन्हा गुज़ारीनज़दीक आके तन के ले बात सारी इंतज़ारहमारी गली जानाजब याद सत यारहमारी गली जानाजब दिल ना दिलदारहमारी गली जानाजब दीदारहमारी गली जानाआ जानाआ 
23,आ भी जा मेरी दुनिया में ,sad,तलात महमूद,दुनिया नह बिन तलाक यूं घबराये दिल मिले नज़र नज़र कबर कबर लाख ढूँढूँ पाऊं यूं मुहब्बत तूफ़ान बाह दिल साँस खुशबू खो छाँव पलक ख्वाब नाज़नीन झूम गाये दिल चाँद महफ़िल आहात दिल आसमान दुश्मन ज़ालिम ज़मीन पड़े दिल दुनिया नह बिन तलाक यूं घबराये दिल 
24,आ भी जा सनम,romantic,आतिफ़ असलम,सनम ना सितम बाँह सनम ना सितम बाँह मर मिट सनम ना सितम बाँह मर मिट बाँह चेहरा चेहरे पेहरा आवारापन सच सप सनम ना सितम बाँह मर मिट सनम ना सितम बाँह मर मिटेंगेइ 
25,आइये मेहरबाँ,romantic,आशा भोसले,आइये मेहरब बैठिये जाने-ज शौक़ लीजिये इश्क इम्तह नौजव हस महम बय दिल नह ज़ुब आइये मेहरब देखा मचल बिजली गिरा उधर किसका जला आश बिजली खबर आइये मेहरब 
26,आई अब की साल दिवाली,sad,लता मंगेशकर,साल दिवाली मुंह खून मले साल दिवाली चार घोर अंधेरा दीप जले साल दिवाली बालक तरसे फुलझड़ दीप दीवार दीप दीवार माँ गोदी सू सू आँगन संवारे आँगन संवारे राह उजाल जिनकी शाम ढले साल दिवाली जिनके दम जगमग जगमग रात चोरी चोरी मन मन बात मन मन बात छोड़ अमावस ज्योति साथ साल दिवाली टप-टप टप-टप टपके आंसू छलकी खाली थाली छलकी खाली थाली समझ आँख लाली आँख लाली शोर मचा आग कट पर्वत गले साल दिवाली मुंह खून मले चार घोर अंधेरा दीप जले साल दिवाली 
27,आईना,romantic,"अरको, तुलसी कुमार, नेहा कक्कर",साम आई लफ्ज़ माय साम आई लफ्ज़ माय चाहे इलज़ाम गिला सह डर साम आई लफ्ज़ माय जुस्तुजू होक रूबरू मरहम तभी आँख उतरी हंसी होठ आके बसी हमदम हाथ ईन लकीर थाम थाम साम आई लफ्ज़ माय 
28,आओ कभी हवेली पे,party,"बादशाह, निकिता गांधी, सचिन-जिगर
",ना बेबी ना बेबी ना बेबी ना बेबी काहे दिख तन्त्रुम बोले मंजनू कह थोड़ी शर्म गोदी पिल्लो फ़रवरी निकलो डार्लिंग चंदेरी तनिक हवेली हाय ओहो हवेली हाय हवेली सो सो भूख खा बेबी मूंगफली मूंगफली दा नह बत नह बोल दूंगा चुपचाप दिल विल चुर नह क्योंकि चोरी पाप पाप यार बाप रात ड्रेस कॉड लाल चोली आँख मिचोली अनुष्का कोहली लिट् af ठन asap डोलो नह यार दोस्त साथ पधारो सख प्लान हाज़ार रात संवारो लिट् ठन सेटिंग सीधी सहेली झुमका मंगव बरेली तनिक हवेली देखो ना देखो ना हवेली देखो ना देखो ना हवेली ना बेबी ना बेबी ना बेबी ना बेबी 
29,आओ तुम्हे चाँद पे ले जाएं,romantic,लता मंगेशकर,चाँद जाएं प्यार भरे सप सज छोटा बंगला बन नयी दुनिया बस चाँद जाएं प्यार भरे सप सज छोटा बंगला बन नयी दुनिया बस प्यार दुन आसम मिलके ना बिछड़े डगर नगर चाँद जाएं प्यार भरे सप सज छोटा बंगला बन नयी दुनिया बस चाँद जाएं ग़म सोए खुशी जागे आस मंज़िल तार दिल रो नही आँसू नही चाँद जाएं प्यार भरे सप सज छोटा बंगला बन नयी दुनिया बस 
30,आओ मिलो चलें,romantic,शान,चल चल रास् मंजिल बेहतर लग रास् खो जाएँ जाएँ यूं लाप मिलो चल बैठे बैठे रास् नया मिले चलूँ होंगे तभी फासले बैठे बैठे रास् नया मिले चलूँ होंगे तभी फासले ना वास् मिलो चल चल चल रास् मंजिल बेहतर लग रास् समझाऊं थारे बि ना आँख खोल नींद बोल कैसी जगी बेखुदी देखो बेखुदी आँख खोल नींद बोल कैसी जगी बेखुदी देखो बेखुदी मिल रास् मिलो चल ना सज सज जानियो प्रीत प्रीत करियो चल चल रास् मंजिल बेहतर लग रास् 
31,आओ हुज़ूर तुमको,romantic,आशा भोसले,हमसे रौशन चाँद तारे दामन समझिये ग़ैरत उठ ज़म मिट मुहब्बत दिल नाज़ुक कली फूल टूटे ख़याल रखिय टूट जान-ए-ज समझीय बाँवरी मुहब्बत ज़ुल्फ़ नह सँवार आर कन्हैया राधा नह उतार हुज़ूर सितार चलूँ दिल झूम बहार चलूँ हुज़ूर सितार चलूँ दिल झूम बहार चलूँ हुज़ूर हमराज़ हमख़याल हमनज़र बनो तय ज़िंदगी सफ़र हमसफ़र बनो हमराज़ हमख़याल हमनज़र बनो तय ज़िंदगी सफ़र हमसफ़र चाहत उजले-उजले नज़ार चलूँ दिल झूम बहार चलूँ हुज़ूर लिख अह लिख किताब-ए-दिल दास्त जिसकी मिसाल सक सात आसम लिख किताब-ए-दिल दास्त जिसकी मिसाल सक सात आसम बाह बाह डाले हज़ार चलूँ हाय दिल झूम बहार चलूँ हुज़ूर सितार चलूँ दिल झूम बहार चलूँ हुज़ूर 
32,आंख मेरे यार की दुखे,sad,पंकज उदास,प्यार कित अफस दुनिया सु सुनाये प्यार कित अफस दुनिया सु सुनाये प्यार देखा बताये आंख यार दुखे आंख यार दुखे आँख लाली आंख यार दुखे आँख लाली जग प्यार जग प्यार प्यार बात निराली आंख यार दुखे आँख लाली यार बिक यार गुलामी यार बिक यार गुलामी यार खातिर हस् हस् शहलूं बदनामी यार मिट कर्म वाली आंख यार दुखे आँख लाली जग प्यार प्यार बात निराली आंख यार दुखे आँख लाली यार साथ बहार यार साथ उजाले यार साथ बहार यार साथ उजाले जी मुश्किल दे रोग जुद वाली जीतेजी ना देखूं रात काली आंख यार दुखे आँख लाली जग प्यार प्यार बात निराली आंख यार दुखे आँख लाली आंख यार दुखे आँख लाली 
33,आँखों के आगे पीछे,romantic,कविता कृष्णामूर्ति,आँख आँख पलक कित तूफ़ान दिल किये सात समुन्दर किये सात समुन्दर आँख आँख पलक कित तूफ़ान दिल किये सात समुन्दर किये सात समुन्दर सबब मौसम ख़राब सबब मौसम ख़राब उसपे क़यामत दिल जनाब मचले यु अरमा मचले यु अरमा मचले यु अरमा मचले यु अरम दिल किये सात समुन्दर किये सात समुन्दर दिल डगमगा डैम लडखडा दिल डगमगा डैम लडखडा बात बात कही होठ दास्त दास्त दास्त दास्त दिल किये सात समुन्दर किये सात समुन्दर आँख सड़क कित तूफ़ा दिल किये सात समुन्दर किये सात समुन्दर 
34,आँखों के सागर,sad,शफकत अमानत अली,आँख सागर होठ सागर आँख सागर होठ सागर डूबे डूबे आँख सागर होठ सागर डूबे डूबे पलक पलक दिल मिले मंजिल मिले ना भूलो ना भूल दिल मिले मंजिल मिले आँख सागर तड़प हँस तड़प हँस नींद सप आँख सागर होठ सागर डूबे डूबे जीवन ख़ुश जीवन ख़ुश आँख सागर होठ सागर डूबे डूबे आँख होठ सागर डूबे आँख सागर होठ सागर 
35,आंखों में तेरी,romantic,के.के.,आँख अजबसी अजबसी अदाय आँख अजबसी अजबसी अदाय दिल पतंग साँसे हवाय रात खुशनसीब चाहे दुनिया क़रीब रात खुशनसीब चाहे दुनिया क़रीब दिल सवाल कहीं… सपन रोज़ कहूं नह आँख अजबसी अजबसी अदाय आँख अजबसी अजबसी अदाय दिल पतंग साँसे हवाय साथ साथ नूर चांद रोश हल्कासा साया साथ साथ नूर चांद रोश हल्कासा साया नज़र दिल हशर असर डूब पार दुआ आँख अजबसी अजबसी अदाय आँख अजबसी अजबसी अदाय दिल पतंग साँसे हवाय 
36,आज उनसे कहना है,romantic,शान,नाचन लागयो बैरागी मन भागन लागयो बैरागी मन साथ मन सम भाये जान प्यारे सजन साथ मन सम भाये जान प्यारे सजन मीठा तीखा ले चल पसंद ले चल थोड़ी गुंजिया वुन्जिया ले चल थोड़ी बर्फी वर्फी ले चल उनसे उनसे प्रेम रतन धन पायो पायो प्रेम रतन धन पायो पायो मन भर आयो प्रेम रतन प्रेम रतन धन पायो प्रेम रतन धन पायो प्रेम रतन धन पायो प्रेम रतन धन पायो मन भर आयो प्रेम रतन प्रेम रतन धन पायो प्रेम रतन धन पायो 
